Country Code,Ro1,Ro2,Population
110,1.4,1.75,38930000
111,3.2,4.2,1400000000
112,2.1,3.3,1380000000
113,1.53,2.12,273500000
114,2.1,3.4,83990000
115,0.8,3,9217000
116,2.4,2.8,125800000
117,1.4,1.6,51870000
118,1.1,1.5,32370000
119,0.9,3.4,220900000
120,0.9,1.7,2881000
121,2.41,3.65,34810000
122,2.2,2.4,69800000
123,1.28,1.48,84340000
124,2.1,2.4,9890000
125,0.9,1.89,54410000
210,2.9,4.6,11560000
211,1.8,2.63,5831000
212,1.7,2.54,5531000
213,3.6,5.4,67390000
214,3.8,5.8,83240000
215,3.7,5.8,59550000
216,3,4.2,17440000
217,1.7,2.89,5379000
218,0.97,1.22,144100000
219,5.2,8,47350000
220,0.9,1.8,10350000
221,2.8,4.3,8637000
222,3.3,4.6,67220000
310,0.9,2,38010000
311,3.7,6.5,329500000
410,1.4,1.8,45380000
411,2.4,5.5,212600000
412,1.11,1.41,19120000
413,1.2,1.4,32970000
510,0.58,1,2352000
511,0.5,3.2,26550000
512,1.72,2.9,102300000
513,0.8,1.4,115000000
514,0.8,2.3,31070000
515,0.4,3.2,53770000
516,0.2,4,27690000
517,1.1,1.9,31260000
518,2.22,2.51,206100000
519,0.5,1.5,12950000
520,1.1,2.3,59310000
521,0.6,1.4,8279000
522,0.9,2.1,18380000
610,2.2,3.1,25690000
611,0.89,1.11,5084000
